ticker,direction,entry_time,entry_price,exit_time,exit_price,qty,position_val,stop_price,target_price,or_height,gross_pnl,commission,net_pnl,outcome
MZTF.TA,long,2026-05-04 10:45:00+03:00,23150.0,2026-05-04 11:10:00+03:00,23045.0,1.06,24455.88,23045.0,23375.0,150.0,-110.92,22.5,-140.76,stop
MZTF.TA,long,2026-05-04 12:10:00+03:00,23190.0,2026-05-04 13:05:00+03:00,23045.0,1.05,24420.69,23045.0,23415.0,150.0,-152.7,22.47,-182.49,stop
ICL.TA,long,2026-05-04 11:20:00+03:00,1619.0,2026-05-04 13:10:00+03:00,1608.5,15.08,24420.69,1608.5,1644.5,17.0,-158.38,22.47,-188.17,stop
LUMI.TA,long,2026-05-04 12:05:00+03:00,7534.0,2026-05-04 14:00:00+03:00,7584.0,3.24,24420.69,7499.0,7600.0,44.0,162.07,22.47,132.28,eod
ESLT.TA,long,2026-05-04 13:10:00+03:00,248740.0,2026-05-04 14:00:00+03:00,247180.0,0.1,24328.02,245145.0,253375.0,3090.0,-152.58,22.38,-182.26,eod
ICL.TA,long,2026-05-04 13:30:00+03:00,1621.0,2026-05-04 14:00:00+03:00,1620.0,15.01,24328.02,1608.5,1646.5,17.0,-15.01,22.38,-44.69,eod
CAMT.TA,long,2026-05-05 11:25:00+03:00,54830.0,2026-05-05 14:00:00+03:00,54800.0,0.44,24304.36,54210.0,56240.0,940.0,-13.3,22.36,-42.95,eod
NVMI.TA,long,2026-05-05 11:35:00+03:00,148510.0,2026-05-05 14:00:00+03:00,147940.0,0.16,24304.36,147435.0,151015.0,1670.0,-93.28,22.36,-122.93,eod
MZTF.TA,long,2026-05-08 13:40:00+03:00,23840.0,2026-05-08 13:40:00+03:00,23840.0,1.02,24262.89,23290.0,24380.0,360.0,0.0,22.32,-29.6,eod
CAMT.TA,long,2026-05-08 13:40:00+03:00,57300.0,2026-05-08 13:45:00+03:00,57300.0,0.42,24262.89,56605.0,58185.0,590.0,0.0,22.32,-29.6,eod
ICL.TA,long,2026-05-20 10:30:00+03:00,1929.0,2026-05-20 11:10:00+03:00,1908.5,12.57,24248.09,1908.5,1984.5,37.0,-257.69,22.31,-287.27,stop
NVMI.TA,long,2026-05-20 11:25:00+03:00,140530.0,2026-05-20 12:15:00+03:00,139720.0,0.17,24176.27,138760.0,142750.0,1480.0,-139.35,22.24,-168.84,eod
ESLT.TA,long,2026-05-20 11:30:00+03:00,230000.0,2026-05-20 12:15:00+03:00,229800.0,0.11,24176.27,227860.0,232550.0,1700.0,-21.02,22.24,-50.52,eod
LUMI.TA,long,2026-05-20 12:00:00+03:00,7416.0,2026-05-20 12:15:00+03:00,7409.0,3.26,24176.27,7360.5,7516.5,67.0,-22.82,22.24,-52.32,eod
